Original File,Guessed File,Original NCD Score,Best NCD Score,Compressor,Sample Start,Sample Duration,Noise Level
Adeste-Fideles-Shorter.wav,Adeste-Fideles-Shorter.wav,0.9761972230093511,0.9761972230093511,bz2,0.1,4,0
Adeste-Fideles-Shorter.wav,Adeste-Fideles-Shorter.wav,0.9769056389912156,0.9769056389912156,bz2,0.1,4,0.1
Adeste-Fideles-Shorter.wav,Adeste-Fideles-Shorter.wav,0.9907905922357608,0.9907905922357608,bz2,0.1,4,0.5
Adeste-Fideles-Shorter.wav,sample01.wav,1.009351090960612,1.000796178343949,bz2,0.1,4,1.0
Adeste-Fideles-Shorter.wav,Adeste-Fideles-Shorter.wav,0.9566449419098895,0.9566449419098895,bz2,0.1,7,0
Adeste-Fideles-Shorter.wav,Adeste-Fideles-Shorter.wav,0.9599036554264664,0.9599036554264664,bz2,0.1,7,0.1
Adeste-Fideles-Shorter.wav,Adeste-Fideles-Shorter.wav,0.9863984131482006,0.9863984131482006,bz2,0.1,7,0.5
Adeste-Fideles-Shorter.wav,sample01.wav,1.0230943610087844,0.9957537154989384,bz2,0.1,7,1.0
Adeste-Fideles-Shorter.wav,Adeste-Fideles-Shorter.wav,0.9423349390762256,0.9423349390762256,bz2,0.1,10,0
Adeste-Fideles-Shorter.wav,Adeste-Fideles-Shorter.wav,0.9471521677529045,0.9471521677529045,bz2,0.1,10,0.1
Adeste-Fideles-Shorter.wav,Adeste-Fideles-Shorter.wav,0.9839897988098611,0.9839897988098611,bz2,0.1,10,0.5
Adeste-Fideles-Shorter.wav,sample01.wav,1.014168319637291,0.993895966029724,bz2,0.1,10,1.0
Adeste-Fideles-Shorter.wav,Adeste-Fideles-Shorter.wav,0.9780391045621989,0.9780391045621989,bz2,0.3,4,0
Adeste-Fideles-Shorter.wav,Adeste-Fideles-Shorter.wav,0.9793142533295551,0.9793142533295551,bz2,0.3,4,0.1
Adeste-Fideles-Shorter.wav,Adeste-Fideles-Shorter.wav,0.9948994049305753,0.9948994049305753,bz2,0.3,4,0.5
Adeste-Fideles-Shorter.wav,sample01.wav,1.0106262397279682,0.9968152866242038,bz2,0.3,4,1.0
Adeste-Fideles-Shorter.wav,Adeste-Fideles-Shorter.wav,0.9630206857466704,0.9630206857466704,bz2,0.3,7,0
Adeste-Fideles-Shorter.wav,Adeste-Fideles-Shorter.wav,0.9631623689430433,0.9631623689430433,bz2,0.3,7,0.1
Adeste-Fideles-Shorter.wav,Adeste-Fideles-Shorter.wav,0.9916406914139984,0.9916406914139984,bz2,0.3,7,0.5
Adeste-Fideles-Shorter.wav,sample01.wav,1.0162935675828846,0.9952229299363057,bz2,0.3,7,1.0
Adeste-Fideles-Shorter.wav,Adeste-Fideles-Shorter.wav,0.943326721450836,0.943326721450836,bz2,0.3,10,0
Adeste-Fideles-Shorter.wav,Adeste-Fideles-Shorter.wav,0.9470104845565316,0.9470104845565316,bz2,0.3,10,0.1
Adeste-Fideles-Shorter.wav,Adeste-Fideles-Shorter.wav,0.9869651459336922,0.9869651459336922,bz2,0.3,10,0.5
Adeste-Fideles-Shorter.wav,sample01.wav,1.012893170869935,0.994692144373673,bz2,0.3,10,1.0
Adeste-Fideles-Shorter.wav,Adeste-Fideles-Shorter.wav,0.9743553414565033,0.9743553414565033,bz2,0.5,4,0
Adeste-Fideles-Shorter.wav,Adeste-Fideles-Shorter.wav,0.9774723717767073,0.9774723717767073,bz2,0.5,4,0.1
Adeste-Fideles-Shorter.wav,Adeste-Fideles-Shorter.wav,0.9931992065741003,0.9931992065741003,bz2,0.5,4,0.5
Adeste-Fideles-Shorter.wav,sample01.wav,1.0052422782657977,0.9930997876857749,bz2,0.5,4,1.0
Adeste-Fideles-Shorter.wav,Adeste-Fideles-Shorter.wav,0.9580617738736186,0.9580617738736186,bz2,0.5,7,0
Adeste-Fideles-Shorter.wav,Adeste-Fideles-Shorter.wav,0.9667044488523661,0.9667044488523661,bz2,0.5,7,0.1
Adeste-Fideles-Shorter.wav,Adeste-Fideles-Shorter.wav,1.0004250495891187,1.0004250495891187,bz2,0.5,7,0.5
Adeste-Fideles-Shorter.wav,sample01.wav,1.0164352507792576,1.000796178343949,bz2,0.5,7,1.0
Adeste-Fideles-Shorter.wav,Adeste-Fideles-Shorter.wav,0.9376593935959195,0.9376593935959195,bz2,0.5,10,0
Adeste-Fideles-Shorter.wav,Adeste-Fideles-Shorter.wav,0.9451686030036838,0.9451686030036838,bz2,0.5,10,0.1
Adeste-Fideles-Shorter.wav,Adeste-Fideles-Shorter.wav,0.9888070274865401,0.9888070274865401,bz2,0.5,10,0.5
Adeste-Fideles-Shorter.wav,sample01.wav,1.012893170869935,0.9872611464968153,bz2,0.5,10,1.0
